statefips,year,month,ds_o3_pred
24,2012,4,47.623309334337684
24,2012,5,48.561055369956684
24,2012,6,56.65141234150816
24,2012,7,58.851967221479825
24,2012,8,54.20758210091002
24,2012,9,43.14830396048457
24,2012,10,32.986643693926695
24,2012,11,28.63826028942036
24,2012,12,24.378009686042013
24,2013,1,27.0353860858933
24,2013,2,32.225570450155615
24,2013,3,41.98347148027704
24,2013,4,50.398941323305834
24,2013,5,47.286251245933215
24,2013,6,47.39461903686043
24,2013,7,44.13203594227274
24,2013,8,44.84598881532431
24,2013,9,44.44784901649984
24,2013,10,34.30066016535095
24,2013,11,29.325100882390476
24,2013,12,26.23064987362959
24,2014,1,29.40078703518814
24,2014,2,35.070330864565456
24,2014,3,39.91369090684589
24,2014,4,48.357876383085575
24,2014,5,48.39835481886085
24,2014,6,48.80485662723225
24,2014,7,47.93050681680548
24,2014,8,46.1232044845534
24,2014,9,38.05621984284011
24,2014,10,33.155540138974104
24,2014,11,29.728692972358214
24,2014,12,22.766576486372582
25,2011,1,29.474096974972035
25,2011,2,36.24595872835327
25,2011,3,41.252403404257976
25,2011,4,44.07670267169367
25,2011,5,38.84663975734611
25,2011,6,41.368402777887596
25,2011,7,47.231506731336545
25,2011,8,39.75726481534264
25,2011,9,33.30452040996826
25,2011,10,30.753305044508142
25,2011,11,31.170374282133828
25,2011,12,25.611599882578837
25,2012,1,27.3462198701392
25,2012,2,33.37986500335338
